		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	N	mean	sd	p50	min	max
							
Ltlnou	no. of workers	15,163	109.8	397.3	33	1	17,721
V1115	Capital	15,163	1.111e+08	2.944e+09	1.850e+06	100	2.112e+11
Output	Output	15,163	7.494e+07	5.487e+08	5.926e+06	19,732	3.538e+10
pcm	Price-cost margin	15,163	0.262	0.219	0.193	0.0239	0.953
salesor	Sales orientation	15,163	0.000198	0.0141	0	0	1
wa_hhi4d	Industry HHI	15,163	0.0657	0.0660	0.0497	0.00723	0.971
wa_cr44d	Industry CR4	15,098	0.367	0.147	0.363	0.111	0.998
tfp	Total factor productivity	15,163	5.089	1.584	4.400	2.259	11.94
mu	Markups	15,163	2.032	1.441	1.524	0.276	7.777
tc	Total cost	15,163	6.191e+07	4.653e+08	4.584e+06	12,667	3.085e+10
							
